variable_code,variable_name,domain,added_by,added_on,note
DROUGHT_EVENTS_1974_TO_2004,No. of Drought events - 1974 to 2004 (25%),hazard,Central Province expert panel,2026-09-03,added to the data tab during the Central review; not yet in FINAL_VARIABLES.xlsx
DROUGHT_EVENTS_2005_TO_2022,No. of Drought events - 2005 -2022 (75%),hazard,Central Province expert panel,2026-09-03,added to the data tab during the Central review; not yet in FINAL_VARIABLES.xlsx
FLOOD_EVENTS_1974_TO_2004,No. of Flood events_ 1974-2004_25%,hazard,Central Province expert panel,2026-09-03,added to the data tab during the Central review; not yet in FINAL_VARIABLES.xlsx
FLOOD_EVENTS_2005_TO_2023,No. of Flood events_ 2005-2023_75%,hazard,Central Province expert panel,2026-09-03,added to the data tab during the Central review; not yet in FINAL_VARIABLES.xlsx
MAXIMUM_DROUGHT_AFFECTED_PEOPLE_DURING_1974_TO_2004,Max # of drought affected People - 1974 to 2004 (25%),exposure,Central Province expert panel,2026-09-03,added to the data tab during the Central review; not yet in FINAL_VARIABLES.xlsx
MAXIMUM_DROUGHT_AFFECTED_PEOPLE_DURING_2005_TO_2022,Max # of drought affected People - 2005 to 2022 (75%),exposure,Central Province expert panel,2026-09-03,added to the data tab during the Central review; not yet in FINAL_VARIABLES.xlsx
MAXIMUM_FLOOD_AFFECTED_PEOPLE_DURING_1974_TO_2004,Max_affected_flood - 1974-2004-25%,exposure,Central Province expert panel,2026-09-03,added to the data tab during the Central review; not yet in FINAL_VARIABLES.xlsx
MAXIMUM_FLOOD_AFFECTED_PEOPLE_DURING_2005_TO_2023,Max_affected_flood-2005-2023-75%,exposure,Central Province expert panel,2026-09-03,added to the data tab during the Central review; not yet in FINAL_VARIABLES.xlsx
THREE_DAY_CUMULATIVE_RAINFALL,3 day cumulative rain fall,hazard,Central Province expert panel,2026-09-03,added to the data tab during the Central review; not yet in FINAL_VARIABLES.xlsx; the panel's own column header was '3DAY_CUMULATIVE_RAINFALL' - keep that as an indicator_alias so their returned files still match
VERY_WET_DAYS_95TH_PERCENTILE,Very wet days (95th percentile),hazard,Central Province expert panel,2026-09-03,added to the data tab during the Central review; not yet in FINAL_VARIABLES.xlsx
