province,district,ds_code,ds_division,ds_division_si,ds_code_official_num,ds_code_legacy,split_from,lon,lat,level,source
Central,Kandy,KA1,Akurana,අකුරණ,153,CEN-001,,80.619585,7.394799,DS_DIVISION,"DS_Boundary.shp (2025-10-09), EPSG:5234 reprojected to 4326"
Central,Kandy,KA2,Deltota,දෙල්තොට,154,CEN-002,,80.71493,7.179305,DS_DIVISION,"DS_Boundary.shp (2025-10-09), EPSG:5234 reprojected to 4326"
Central,Kandy,KA3,Doluwa,දොලුව,155,CEN-003,,80.632279,7.167808,DS_DIVISION,"DS_Boundary.shp (2025-10-09), EPSG:5234 reprojected to 4326"
Central,Kandy,KA4,Ganga Ihala Korale,ගඟඉහළකෝරලේ,156,CEN-004,,80.510195,7.115281,DS_DIVISION,"DS_Boundary.shp (2025-10-09), EPSG:5234 reprojected to 4326"
Central,Kandy,KA5,Gangawata Korale,ගඟවටකෝරලේ,157,CEN-005,,80.644512,7.273917,DS_DIVISION,"DS_Boundary.shp (2025-10-09), EPSG:5234 reprojected to 4326"
Central,Kandy,KA6,Harispattuwa,හාරිස්පත්තුව,158,CEN-006,,80.584541,7.326442,DS_DIVISION,"DS_Boundary.shp (2025-10-09), EPSG:5234 reprojected to 4326"
Central,Kandy,KA7,Hatharaliyadda,හතරලියද්ද,159,CEN-007,,80.463802,7.336763,DS_DIVISION,"DS_Boundary.shp (2025-10-09), EPSG:5234 reprojected to 4326"
Central,Kandy,KA8,Kundasale,කුන්ඩසාලේ,160,CEN-008,,80.718933,7.307005,DS_DIVISION,"DS_Boundary.shp (2025-10-09), EPSG:5234 reprojected to 4326"
Central,Kandy,KA9,Medadumbara,මැදදුම්බර,161,CEN-009,,80.796454,7.293951,DS_DIVISION,"DS_Boundary.shp (2025-10-09), EPSG:5234 reprojected to 4326"
Central,Kandy,KA10,Minipe,මිනිපේ,162,CEN-010,,80.949087,7.343377,DS_DIVISION,"DS_Boundary.shp (2025-10-09), EPSG:5234 reprojected to 4326"
Central,Kandy,KA11,Panvila,පන්විල,163,CEN-011,,80.756853,7.411237,DS_DIVISION,"DS_Boundary.shp (2025-10-09), EPSG:5234 reprojected to 4326"
Central,Kandy,KA12,Pasbagekorale,පස්බාගේකෝරලේ,164,CEN-012,,80.545543,7.017195,DS_DIVISION,"DS_Boundary.shp (2025-10-09), EPSG:5234 reprojected to 4326"
Central,Kandy,KA13,Pathadumbara,පාතදුම්බර,165,CEN-013,,80.657881,7.346554,DS_DIVISION,"DS_Boundary.shp (2025-10-09), EPSG:5234 reprojected to 4326"
Central,Kandy,KA14,Pathahewaheta,පාතහේවාහැට,166,CEN-014,,80.705906,7.227093,DS_DIVISION,"DS_Boundary.shp (2025-10-09), EPSG:5234 reprojected to 4326"
Central,Kandy,KA15,Poojapitiya,පූජාපිටිය,167,CEN-015,,80.553454,7.403008,DS_DIVISION,"DS_Boundary.shp (2025-10-09), EPSG:5234 reprojected to 4326"
Central,Kandy,KA16,Tumpane,තුම්පනේ,168,CEN-016,,80.5142,7.368616,DS_DIVISION,"DS_Boundary.shp (2025-10-09), EPSG:5234 reprojected to 4326"
Central,Kandy,KA17,Udapalatha,උඩපළාත,170,CEN-017,,80.6257,7.144555,DS_DIVISION,"DS_Boundary.shp (2025-10-09), EPSG:5234 reprojected to 4326"
Central,Kandy,KA18,Ududumbara,උඩදුම්බර,169,CEN-018,,80.882035,7.333205,DS_DIVISION,"DS_Boundary.shp (2025-10-09), EPSG:5234 reprojected to 4326"
Central,Kandy,KA19,Udunuwara,උඩුනුවර,171,CEN-019,,80.561731,7.2222,DS_DIVISION,"DS_Boundary.shp (2025-10-09), EPSG:5234 reprojected to 4326"
Central,Kandy,KA20,Yatinuwara,යටිනුවර,172,CEN-020,,80.541066,7.283412,DS_DIVISION,"DS_Boundary.shp (2025-10-09), EPSG:5234 reprojected to 4326"
Central,Matale,MA1,Ambanganga,අඹන්ගඟ,222,CEN-021,,80.677879,7.56277,DS_DIVISION,"DS_Boundary.shp (2025-10-09), EPSG:5234 reprojected to 4326"
Central,Matale,MA2,Dambulla,දඹුල්ල,223,CEN-022,,80.717118,7.874443,DS_DIVISION,"DS_Boundary.shp (2025-10-09), EPSG:5234 reprojected to 4326"
Central,Matale,MA3,Galewela,ගලේවෙල,224,CEN-023,,80.56433,7.769177,DS_DIVISION,"DS_Boundary.shp (2025-10-09), EPSG:5234 reprojected to 4326"
Central,Matale,MA4,Laggala,ලග්ගල,225,CEN-024,,80.793819,7.564491,DS_DIVISION,"DS_Boundary.shp (2025-10-09), EPSG:5234 reprojected to 4326"
Central,Matale,MA5,Matale,මාතලේ,226,CEN-025,,80.625305,7.543563,DS_DIVISION,"DS_Boundary.shp (2025-10-09), EPSG:5234 reprojected to 4326"
Central,Matale,MA6,Naula,නාඋල,227,CEN-026,,80.695054,7.700916,DS_DIVISION,"DS_Boundary.shp (2025-10-09), EPSG:5234 reprojected to 4326"
Central,Matale,MA7,Pallepola,පල්ලේපොල,228,CEN-027,,80.589782,7.651882,DS_DIVISION,"DS_Boundary.shp (2025-10-09), EPSG:5234 reprojected to 4326"
Central,Matale,MA8,Rattota,රත්තොට,229,CEN-028,,80.683103,7.48449,DS_DIVISION,"DS_Boundary.shp (2025-10-09), EPSG:5234 reprojected to 4326"
Central,Matale,MA9,Ukuwela,උකුවෙල,230,CEN-029,,80.612661,7.437219,DS_DIVISION,"DS_Boundary.shp (2025-10-09), EPSG:5234 reprojected to 4326"
Central,Matale,MA10,Wilgamuwa,විල්ගමුව,231,CEN-030,,80.924727,7.589189,DS_DIVISION,"DS_Boundary.shp (2025-10-09), EPSG:5234 reprojected to 4326"
Central,Matale,MA11,Yatawatta,යටවත්ත,232,CEN-031,,80.581318,7.543856,DS_DIVISION,"DS_Boundary.shp (2025-10-09), EPSG:5234 reprojected to 4326"
Central,Nuwara Eliya,NU1,Ambagamuwa Korale,,264,,Ambagamuwa (CEN-032),80.474234,6.951382,DS_DIVISION,"DS_Boundary.shp (2025-10-09), EPSG:5234 reprojected to 4326"
Central,Nuwara Eliya,NU2,Hanguranketa,හගුරන්කේත,265,CEN-033,,80.791419,7.174685,DS_DIVISION,"DS_Boundary.shp (2025-10-09), EPSG:5234 reprojected to 4326"
