variable_code,period_aggregation,rationale,domain
ACCOMMODATION_FOOD_SERVICE_ACTIVITIES_ESTABLISHMENTS,average,Typical value for a single year within the period (not a six-year total).,exposure
ACCOMMODATION_FOOD_SERVICE_ACTIVITIES_PERSONS_ENGAGED,average,Typical value for a single year within the period (not a six-year total).,exposure
ANNUAL_AVERAGE_RAINFALL,average,Typical value for a single year within the period (not a six-year total).,exposure
ANNUAL_AVERAGE_VISITORS_MAIN_TOURISM_DESTINATIONS,average,Typical value for a single year within the period (not a six-year total).,exposure
ANNUAL_COCO_PRODUCTION,average,Typical value for a single year within the period (not a six-year total).,exposure
ANNUAL_EGG_PRODUCTION,average,Typical value for a single year within the period (not a six-year total).,exposure
ANNUAL_FISH_STOCKING_KG,average,Typical value for a single year within the period (not a six-year total).,exposure
ANNUAL_MUTTON_PRODUCTION_KG,average,Typical value for a single year within the period (not a six-year total).,exposure
ANNUAL_PORK_PRODUCTION_KG,average,Typical value for a single year within the period (not a six-year total).,exposure
AREA_CLASSIFIED_AS_URBAN,average,Typical value for a single year within the period (not a six-year total).,exposure
ARTS_ENTERTAINMENT_RECREATION_ESTABLISHMENTS,average,Typical value for a single year within the period (not a six-year total).,exposure
ARTS_ENTERTAINMENT_RECREATION_PERSONS_ENGAGED,average,Typical value for a single year within the period (not a six-year total).,exposure
ASWEDDUMIZED_PADDY_EXTENT,average,Typical value for a single year within the period (not a six-year total).,exposure
BACKYARD_HATCHERIES_DOC_PRODUCTION_WEEKLY,average,Typical value for a single year within the period (not a six-year total).,exposure
BACKYARD_POULTRY_FARMS,average,Typical value for a single year within the period (not a six-year total).,exposure
BROILER_FARMS,average,Typical value for a single year within the period (not a six-year total).,exposure
BUFFALO_FARMERS,average,Typical value for a single year within the period (not a six-year total).,exposure
BUFFALO_FARMS,average,Typical value for a single year within the period (not a six-year total).,exposure
BUFFALO_MILK_PRODUCTION_FARMS,average,Typical value for a single year within the period (not a six-year total).,exposure
BUFFALO_POPULATION,average,Typical value for a single year within the period (not a six-year total).,exposure
BUILDINGS_FLOOD_AFFECTED_AREA,average,Typical value for a single year within the period (not a six-year total).,exposure
BUILDINGS_LANDSLIDE_AFFECTED_AREA,average,Typical value for a single year within the period (not a six-year total).,exposure
BUILDINGS_LANDSLIDE_PRONE_AREA_HIGH_MODERATE,average,Typical value for a single year within the period (not a six-year total).,exposure
CATTLE_FARMERS,average,Typical value for a single year within the period (not a six-year total).,exposure
CATTLE_FARMS,average,Typical value for a single year within the period (not a six-year total).,exposure
CATTLE_MILK_PRODUCTION_FARMS,average,Typical value for a single year within the period (not a six-year total).,exposure
CATTLE_POPULATION,average,Typical value for a single year within the period (not a six-year total).,exposure
COCONUT_EXTENT,average,Typical value for a single year within the period (not a six-year total).,exposure
COCONUT_FARMERS,average,Typical value for a single year within the period (not a six-year total).,exposure
CUTTING_FAILURES_EARTH_SLIPS_2000_TO_2023,fixed_window,"The variable definition fixes its own year window, so the same value applies to both period tabs.",hazard
DAILY_EGG_PRODUCTION,average,Typical value for a single year within the period (not a six-year total).,exposure
DAILY_MUTTON_PRODUCTION_KG,average,Typical value for a single year within the period (not a six-year total).,exposure
DROUGHT_EVENTS_1974_TO_2022,fixed_window,"The variable definition fixes its own year window, so the same value applies to both period tabs.",hazard
DROUGHT_HAZARD_INDEX,fixed_window,Composite index computed over a fixed reference period.,hazard
EGG_COLLECTORS,average,Typical value for a single year within the period (not a six-year total).,exposure
EGG_LAYING_HENS,average,Typical value for a single year within the period (not a six-year total).,exposure
ESTABLISHMENTS_MANUFACTURING_INDUSTRIES,average,Typical value for a single year within the period (not a six-year total).,exposure
ESTATE_SECTOR_POPULATION,average,Typical value for a single year within the period (not a six-year total).,exposure
EXISTING_MINOR_IRRI_SCHEMES,average,Typical value for a single year within the period (not a six-year total).,exposure
FARMS_GOAT_MILK_PROCESSORS,average,Typical value for a single year within the period (not a six-year total).,exposure
FARMS_SELLING_GOAT_MILK,average,Typical value for a single year within the period (not a six-year total).,exposure
FARM_HOUSEHOLDS_POPULATION,average,Typical value for a single year within the period (not a six-year total).,exposure
FARM_SHOP,average,Typical value for a single year within the period (not a six-year total).,exposure
FISHERMEN,average,Typical value for a single year within the period (not a six-year total).,exposure
FISH_PRODUCTION_KG,average,Typical value for a single year within the period (not a six-year total).,exposure
FLOOD_AFFECTED_HUMAN_SETTLEMENT_AREA,average,Typical value for a single year within the period (not a six-year total).,exposure
FLOOD_AFFECTED_MAIN_ROAD_LENGTH,average,Typical value for a single year within the period (not a six-year total).,exposure
