province,sector_dir,subsector,hazard,file,sheet,label,description,weight_pct,relationship,domain
Central,Coconut,,Drought,Coconut_Drought.xlsx,Variables,H1,"No. of drought events - 1974 to 2022 (1974-2004, 25%, 2005 -2022, 75%)",50,+,hazard
Central,Coconut,,Drought,Coconut_Drought.xlsx,Variables,H2,Occurrence of warm days (TX90p),10,+,hazard
Central,Coconut,,Drought,Coconut_Drought.xlsx,Variables,H3,SPI (Intensity),40,+,hazard
Central,Coconut,,Drought,Coconut_Drought.xlsx,Variables,E1,Coconut  extent,25,+,exposure
Central,Coconut,,Drought,Coconut_Drought.xlsx,Variables,E2,No. of Coconut  farmers,30,+,exposure
Central,Coconut,,Drought,Coconut_Drought.xlsx,Variables,E3,Estate Sector population,20,+,exposure
Central,Coconut,,Drought,Coconut_Drought.xlsx,Variables,E4,% Coconut  extent from total agricultural lands,25,+,exposure
Central,Human Settlement,,Drought,Hu_Se_Drought.xlsx,Variables,H1,"No. of drought events - 1974 to 2022 (1974-2004, 25%, 2005 -2022, 75%)",40,+,hazard
Central,Human Settlement,,Drought,Hu_Se_Drought.xlsx,Variables,H2,Occurrence of warm days (TX90p),30,+,hazard
Central,Human Settlement,,Drought,Hu_Se_Drought.xlsx,Variables,H3,SPI (Intensity),30,+,hazard
Central,Human Settlement,,Drought,Hu_Se_Drought.xlsx,Variables,E1,Total Population,12,+,exposure
Central,Human Settlement,,Drought,Hu_Se_Drought.xlsx,Variables,E2,Population density,10,+,exposure
Central,Human Settlement,,Drought,Hu_Se_Drought.xlsx,Variables,E3,No. of housing units,10,+,exposure
Central,Human Settlement,,Drought,Hu_Se_Drought.xlsx,Variables,E4,Max # of drought affected People during 1974 to 2022,18,+,exposure
Central,Human Settlement,,Drought,Hu_Se_Drought.xlsx,Variables,E5,% area under urban classification,7,+,exposure
Central,Human Settlement,,Drought,Hu_Se_Drought.xlsx,Variables,E6,% area under human settlements (Urban and rural),2,+,exposure
Central,Human Settlement,,Drought,Hu_Se_Drought.xlsx,Variables,E7,% HH with pipe borne water,6,-,exposure
Central,Human Settlement,,Drought,Hu_Se_Drought.xlsx,Variables,E8,No. of no proper sanitation facilities,5,+,exposure
Central,Human Settlement,,Drought,Hu_Se_Drought.xlsx,Variables,E9,% Roofs consist of Galvanize Sheets,5,+,exposure
Central,Human Settlement,,Drought,Hu_Se_Drought.xlsx,Variables,E10,% surface area of water bodies within DS area,3,-,exposure
Central,Human Settlement,,Drought,Hu_Se_Drought.xlsx,Variables,E11,% of temporary houses,7,+,exposure
Central,Human Settlement,,Drought,Hu_Se_Drought.xlsx,Variables,E12,Human Animal Attacks,15,+,exposure
