proposed_code,canonical_name,raw_description_normalized
VERY_WET_DAYS_95TH_PERCENTILE,Very wet days (95th percentile) and 3 day cumulative rain fall (out of 35 - 40% for very wet days and 60% for 3 day cumulative respectively),very wet days 95th percentile and 3 day cumulative rain fall out of 35 40% for very wet days and 60% for 3 day cumulative respectively
DROUGHT_HAZARD_INDEX,Drought Hazard Index,drought hazard index
FLOOD_HAZARD_INDEX,Flood Hazard Index,flood hazard index
FLOOD_HAZARD_INDEX,Flood Hazard Index,flood hazard ndex
FLOOD_HAZARD_INDEX,Flood Hazard Index,flood hzard index
DROUGHT_EVENTS_1974_2022_1974,"No. of drought events - 1974 to 2022 (1974-2004, 25%, 2005 -2022, 75%)",no of drought events 1974 to 2022 1974 2004 25% 2005 2022 75%
FLOOD_EVENTS_1974_2023_1974,"No. of Flood events - 1974 to 2023 (1974-2004, 25%, 2005 -2023, 75%)",no of flood events 1974 to 2023 1974 2004 25% 2005 2023 75%
LIGHTNING_INCIDENTS_1974_2023,No. of lightning incidents  - 1974 to 2023,no of lightening incidents 1974 to 2023
LIGHTNING_INCIDENTS_1974_2023,No. of lightning incidents  - 1974 to 2023,no of lightning incidents 1974 to 2023
OCCURRENCE_WARM_DAYS_TX90P,Occurrence of warm days (TX90p),occurrence of warm days tx90p
SPI_INTENSITY,SPI (Intensity),spi intensity
STRONG_WIND_EVENTS_1978_2023,Strong wind events - 1978 to 2023,strong wind events 1978 to 2023
ACCOMMODATION_FOOD_SERVICE_ACTIVITIES_ESTABL,Accommodation and food service activities- No. of Establishments,accommodation and food service activities no establishments
ACCOMMODATION_FOOD_SERVICE_ACTIVITIES_ESTABL,Accommodation and food service activities- No. of Establishments,accommodation and food service activities no of establishments
ACCOMMODATION_FOOD_SERVICE_ACTIVITIES_PERSON,Accommodation and food service activities- No. of Persons Engaged,accommodation and food service activities no of persons engaged
ACCOMMODATION_FOOD_SERVICE_ACTIVITIES_PERSON,Accommodation and food service activities- No. of Persons Engaged,accommodation and food service activities no persons engaged
MAX_FLOOD_AFFECTED_PEOPLE_DURING,"Max # of flood affected People during  1974 to 2023 (1974-2004, 25%, 2005 -2023, 75%)",max of flood affected people during 1974 to 2023 1974 2004 25% 2005 2023 75%
POPULATION,Total Population,total population
MAX_DROUGHT_AFFECTED_PEOPLE_DURING,"Max # of drought affected People during 1974 to 2022 (1974 -2004, 25%, 2005 -2022, 75%)",max of drought affected people during 1974 to 2022 1974 2004 25% 2005 2022 75%
WATER_INTAKE_POINTS,No. of water intake points,no of water intake points
PCT_HH_FED_BY_WELLS,% of HH fed  by wells,% hh fed by wells
PCT_HH_FED_BY_WELLS,% of HH fed  by wells,% of hh fed by wells
PCT_HH_RURAL_WATER_SUPPLY,% of HH_Rural water supply project,% hh of rural water supply project
PCT_HH_RURAL_WATER_SUPPLY,% of HH_Rural water supply project,% of hh rural water supply project
PCT_PADDY_FARMERS_AGRICULTURAL_OPERATORS,% of Paddy farmers from total  Agricultural Operators,% of paddy farmers from total agricultural operators
PCT_PADDY_LAND_AREA_LAND,% paddy land area (from total land area),% paddy land area from total land area
ARTS_ENTERTAINMENT_RECREATION_ESTABLISHMENTS,"Arts, entertainment and recreation- No. of Establishments",arts entertainment and recreation no establishments
ARTS_ENTERTAINMENT_RECREATION_ESTABLISHMENTS,"Arts, entertainment and recreation- No. of Establishments",arts entertainment and recreation no of establishments
ARTS_ENTERTAINMENT_RECREATION_PERSONS_ENGAGE,"Arts, entertainment and recreation- No. of Persons Engaged",arts entertainment and recreation no of persons engaged
ARTS_ENTERTAINMENT_RECREATION_PERSONS_ENGAGE,"Arts, entertainment and recreation- No. of Persons Engaged",arts entertainment and recreation no persons engaged
PADDY_FARMERS,No. of paddy farmers,no of paddy farmers
PERSONS_ENGAGED_MANUFACTURE_DAIRY_PRODUCT,Persons engaged in manufacture of dairy product industries,persons engaged in manufacture of dairy product industries
ASWEDDUMIZED_PADDY_EXTENT,Total Asweddumized paddy  extent,total asweddumized paddy extent
ASWEDDUMIZED_PADDY_EXTENT,Total Asweddumized paddy  extent,total aswedumized paddy extent
ESTABLISHMENTS_MANUFACTURING_INDUSTRIES,Total establishments in  manufacturing Industries,total establishments in manufacturing industries
HOTELS,Total hotels,total hotels
INDUSTRIAL_ESTABLISHMENTS_SMALL_INFORMAL_IND,Total No. of Industrial establishments (small and informal industries),total no of industrial establishments small and informal industries
PERSONS_ENGAGED_SMALL_INFORMAL_INDUSTRIES,Total Persons engaged (small and informal industries),total persons engaged small and informal industries
PCT_FOREST_COVER,% of forest cover,% of forest cover
PCT_WATER_SURFACE_AREA,% of Water surface area,% of water surface area
POPULATION_DENSITY,Population density,population density
ROAD_DENSITY,Road density,road density
PCT_HH_WITH_PIPE_BORNE,% HH with pipe borne water,% hh with pipe borne water
PCT_HH_WITH_PIPE_BORNE,% HH with pipe borne water,% of hh with pipe borne water
PCT_IRRIGATED_PADDY_AREA_PADDY,% of total irrigated paddy area from total paddy extent,% of total irrigated paddy area from total paddy extent
MAX_DROUGHT_AFFECTED_PEOPLE_DURING_2,Max # of drought affected People during 1974 to 2022,max of drought affected people during 1974 to 2022
BUFFALO_FARMERS,No. of Buffalo Farmers,no of buffalo farmers
BUFFALO_FARMERS,No. of Buffalo Farmers,of buffalo farmers
